,class,xbox,ybox,width,height,onpixel,xbar,ybar,xvar,yvar,xycorr,x2ybar,xy2bar,xedge,xedgeycorr,yedge,yedgexcorr
8712,16,10,11,10,8,7,4,10,3,3,9,8,7,8,11,2,6
8713,19,3,8,4,6,3,6,8,8,10,5,4,10,2,8,6,7
8714,4,3,8,5,6,3,7,6,7,6,6,5,10,1,8,5,11
8715,21,5,5,7,7,8,9,7,6,3,7,7,8,6,10,6,5
8716,22,4,7,6,5,5,8,6,7,4,7,7,7,5,7,6,7
8717,8,2,3,3,5,1,14,1,7,5,14,2,11,0,7,0,8
8718,13,3,8,5,6,4,6,10,3,6,10,9,5,5,10,3,6
8719,15,2,1,3,3,3,7,7,5,5,7,6,8,3,8,2,8
8720,14,6,11,7,8,4,2,8,5,9,10,10,14,1,7,3,7
8721,13,2,0,2,1,0,3,13,5,2,11,8,5,0,8,2,7
8722,11,4,8,5,6,4,8,7,7,4,7,6,6,4,8,3,8
8723,25,2,7,3,5,2,6,8,5,9,7,7,10,2,9,8,7
8724,6,5,9,8,6,5,9,8,4,7,9,4,5,3,7,7,10
8725,18,4,7,6,10,9,7,12,4,0,9,7,6,5,10,6,8
8726,7,2,8,4,5,1,8,6,3,1,7,0,8,2,7,1,8
8727,25,4,8,5,6,2,7,7,4,14,9,6,8,0,8,8,8
8728,21,4,7,6,11,9,8,9,3,2,6,8,9,6,13,10,6
8729,11,3,4,4,3,2,7,7,7,5,9,6,8,2,8,3,8
8730,0,2,8,4,6,2,8,11,2,9,6,11,7,1,11,1,7
8731,21,4,5,5,4,2,4,11,2,7,11,10,5,1,11,3,4
8732,13,9,13,8,7,5,9,7,3,5,11,4,5,4,9,7,9
8733,5,5,7,6,5,3,9,6,4,8,11,4,8,2,8,5,11
8734,8,3,6,5,4,2,10,6,1,7,14,3,7,0,8,0,8
8735,24,2,3,4,1,2,4,8,2,6,10,9,10,2,8,2,7
8736,15,1,0,1,0,0,7,7,10,2,7,6,8,2,8,0,8
8737,24,3,7,4,5,2,3,6,7,3,7,7,12,3,8,3,11
8738,16,3,2,4,3,3,5,11,2,2,8,9,9,6,11,0,8
8739,16,3,1,5,2,3,8,11,3,2,6,9,8,7,11,0,7
8740,1,7,13,6,8,4,8,9,3,6,14,5,5,2,7,6,8
8741,12,8,15,8,8,7,5,8,2,5,7,3,9,6,6,6,5
8742,1,1,5,2,4,1,7,8,0,7,13,6,7,0,8,1,7
8743,22,3,5,4,5,3,8,6,7,6,7,3,9,2,8,3,8
8744,22,3,7,4,6,2,8,7,8,6,6,5,9,3,8,4,8
8745,20,5,11,8,8,2,8,8,5,3,6,14,8,3,9,0,8
8746,21,3,8,5,6,1,9,10,3,2,5,13,8,1,11,0,8
8747,13,3,5,5,4,2,7,9,1,6,13,5,5,1,10,2,8
8748,20,4,8,6,6,3,6,12,2,4,6,11,9,2,10,1,8
8749,16,5,8,7,6,7,8,7,6,2,6,8,8,7,8,5,4
8750,17,3,8,5,6,3,8,4,1,8,9,3,10,0,7,2,9
8751,16,8,8,8,6,5,3,11,2,3,10,10,8,7,10,2,6
8752,7,3,10,5,7,2,8,6,3,1,7,0,8,3,7,1,8
8753,0,7,10,6,5,2,4,12,3,6,13,8,4,2,9,3,4
8754,23,3,4,4,3,2,6,8,6,7,7,10,9,3,9,0,8
8755,15,6,11,8,8,7,7,7,7,7,7,6,8,3,8,4,7
8756,8,5,8,7,9,7,8,9,4,5,7,7,8,5,7,10,10
8757,13,2,4,2,3,1,6,10,4,5,10,9,5,1,9,3,7
8758,16,6,7,6,5,4,3,10,3,3,10,10,8,7,10,2,7
8759,23,4,9,4,7,2,8,5,14,5,6,14,8,3,9,0,8
8760,18,5,9,5,6,2,4,15,8,1,12,6,2,0,9,4,8
8761,17,4,7,5,5,3,6,4,5,9,2,2,4,1,6,2,5
8762,5,5,10,4,5,2,9,3,1,5,8,1,7,2,7,4,10
8763,9,5,5,7,4,7,9,8,4,4,7,6,7,8,6,6,5
8764,4,4,9,5,6,3,6,7,7,6,10,7,11,2,9,4,9
8765,11,3,7,5,5,2,7,7,8,8,7,6,7,3,8,4,8
8766,5,5,11,6,8,5,9,6,4,6,10,3,7,2,8,5,10
8767,20,2,3,3,2,1,4,12,3,3,10,11,7,2,11,0,8
8768,22,5,5,7,8,10,7,5,6,2,6,6,8,11,10,9,13
8769,22,2,2,3,3,2,8,7,7,3,6,6,10,2,9,3,9
8770,24,3,5,5,4,3,6,6,1,7,10,8,11,3,7,3,8
8771,9,3,6,3,4,3,8,6,9,0,6,8,8,6,5,0,8
8772,18,4,9,6,7,4,7,10,4,5,12,5,3,1,10,4,8
8773,23,2,3,2,1,1,7,9,5,5,6,9,9,3,10,1,8
8774,19,8,12,5,6,3,7,6,5,7,10,6,9,2,10,8,9
8775,13,2,7,2,5,2,1,11,3,4,11,11,8,0,8,1,7
8776,10,4,9,6,7,5,8,7,3,5,6,6,7,3,9,9,9
8777,23,5,5,5,7,2,7,5,14,5,7,15,8,3,9,0,8
8778,24,3,5,6,4,3,7,7,2,7,10,5,9,6,8,5,8
8779,17,3,9,5,7,3,7,5,1,7,8,2,10,0,6,2,8
8780,22,5,9,6,11,6,9,7,8,3,5,6,11,5,8,8,8
8781,1,1,2,1,3,1,7,7,1,7,7,6,9,0,8,3,8
8782,16,6,9,8,7,8,8,6,6,2,6,7,8,6,8,5,6
8783,9,7,8,10,6,6,4,7,4,5,11,11,11,9,6,4,7
8784,21,3,5,4,4,2,4,10,2,7,11,10,6,1,11,2,5
8785,24,5,9,5,5,3,3,9,4,5,10,10,11,4,9,3,6
8786,15,5,11,7,8,10,8,6,4,4,6,6,7,8,6,8,6
8787,3,1,3,2,2,1,7,8,5,4,7,6,6,4,9,1,5
8788,21,1,0,2,0,0,7,9,2,1,6,12,8,1,10,0,8
8789,6,3,2,4,3,3,8,7,5,6,7,6,6,2,8,6,10
8790,14,3,10,4,8,3,5,7,6,7,7,6,13,1,8,4,10
8791,3,3,6,4,4,3,7,7,6,6,7,6,8,3,7,3,8
8792,2,4,7,5,5,3,9,7,4,7,11,5,5,3,8,3,8
8793,19,2,7,3,5,2,3,8,6,11,7,5,15,0,8,6,8
8794,20,1,0,2,0,0,7,9,3,2,7,12,8,2,10,0,8
8795,0,2,8,4,5,1,9,15,1,6,5,11,9,0,8,0,8
8796,22,6,8,6,9,7,8,7,7,2,8,7,10,3,8,6,7
8797,23,6,7,7,5,4,4,8,5,7,9,8,9,3,9,3,5
8798,6,3,6,5,4,6,9,7,4,3,6,7,7,7,9,7,7
8799,21,1,1,2,1,0,7,10,2,2,7,12,8,1,11,0,8
8800,19,3,5,5,3,3,6,9,2,9,11,8,8,2,8,4,6
8801,1,0,0,0,0,0,7,7,4,4,7,6,8,0,8,0,8
8802,24,4,7,5,5,4,5,7,6,7,6,6,13,3,8,5,10
8803,11,4,7,4,5,3,7,7,8,5,10,6,8,3,8,3,7
8804,0,2,1,3,2,1,7,12,3,6,7,11,8,2,11,1,8
8805,9,3,6,4,4,4,8,6,6,4,7,7,8,7,5,2,7
8806,7,4,9,6,6,4,10,2,1,2,8,3,9,5,5,3,7
8807,15,3,6,3,4,1,7,8,14,1,7,5,8,3,8,0,8
8808,13,3,5,5,3,2,6,10,3,6,13,7,5,1,10,2,7
8809,16,8,11,8,8,6,4,10,2,3,10,9,8,8,11,2,6
8810,2,3,7,3,5,2,5,7,10,8,7,6,5,3,8,4,8
8811,10,4,8,5,5,1,7,7,4,4,7,6,8,3,8,4,8
8812,8,3,9,5,7,6,9,8,3,3,8,4,6,4,8,6,4
8813,24,7,11,7,6,4,7,7,3,6,10,6,9,6,10,3,8
8814,23,10,13,9,7,4,6,4,5,5,4,8,7,6,7,2,7
8815,15,5,9,8,7,5,7,7,6,7,7,6,5,6,8,4,7
8816,6,4,8,4,6,4,6,9,9,7,7,5,7,2,8,9,10
8817,12,4,11,6,8,8,7,7,3,4,7,6,8,7,10,8,6
8818,19,1,1,1,1,1,4,7,5,8,7,6,13,0,8,6,9
8819,18,5,8,7,6,6,8,9,6,4,10,4,4,3,11,4,9
8820,16,10,11,10,8,7,5,11,3,3,9,8,7,8,11,3,5
8821,3,4,5,5,8,3,7,7,14,2,4,6,8,6,8,0,8
8822,0,6,10,6,5,3,7,9,2,7,12,6,6,2,9,4,6
8823,6,4,8,6,6,5,9,7,4,6,10,5,6,2,8,6,10
8824,11,5,8,6,6,4,7,8,7,5,10,7,8,3,8,3,8
8825,7,3,8,5,6,3,12,3,2,2,10,2,9,2,6,2,8
8826,21,5,9,7,6,6,9,5,7,5,6,9,7,3,9,9,4
8827,17,3,7,4,5,3,5,5,2,8,3,2,7,0,7,1,5
8828,15,3,4,5,3,3,7,7,3,6,10,6,8,3,8,3,8
8829,22,2,2,2,4,2,8,7,7,3,6,6,9,2,8,5,10
8830,2,4,6,5,4,4,9,6,4,6,9,4,6,3,8,3,8
8831,17,4,10,5,8,3,5,3,6,8,1,2,4,1,6,1,5
8832,12,6,11,9,8,8,9,8,4,6,9,3,7,3,6,4,11
8833,18,2,3,3,1,1,8,9,3,3,12,4,4,1,9,2,9
8834,17,3,8,4,6,3,7,3,4,6,6,2,7,1,6,2,7
8835,18,5,11,7,8,6,6,10,6,5,10,8,3,1,10,4,7
8836,9,4,10,6,7,6,8,6,5,5,7,7,8,11,5,2,8
8837,22,5,9,5,11,6,8,7,7,3,8,8,10,3,8,6,8
8838,17,4,9,6,6,3,5,4,3,9,6,1,7,1,6,3,6
8839,13,3,5,5,3,2,6,11,3,5,13,7,4,1,10,1,7
8840,25,4,10,4,7,5,6,8,5,9,8,7,10,1,9,7,8
8841,20,6,8,8,6,5,6,11,3,2,8,11,8,4,9,5,9
8842,24,4,5,5,4,3,6,7,4,7,6,6,10,3,8,5,9
8843,23,3,6,3,4,1,8,5,13,5,6,13,8,3,9,0,8
8844,8,2,8,3,6,1,13,2,8,4,14,4,12,1,6,0,8
8845,20,4,6,4,4,2,3,11,2,3,9,10,8,2,11,0,8
8846,3,2,2,3,3,2,7,8,5,4,7,7,7,4,9,1,6
8847,8,5,12,4,9,4,7,10,3,2,13,5,5,2,8,7,10
8848,22,5,10,6,9,6,8,8,7,5,5,8,9,3,8,5,8
8849,2,3,9,4,6,4,7,7,6,7,6,5,6,3,8,3,7
8850,18,3,4,5,3,2,7,9,4,4,12,4,3,1,10,3,8
8851,3,3,5,4,7,3,7,7,14,2,5,6,8,6,8,0,8
8852,4,5,10,6,8,6,7,6,7,8,6,4,10,2,9,6,11
8853,14,2,1,2,1,0,6,7,6,9,7,6,14,0,8,4,10
8854,20,1,0,2,1,0,8,9,3,2,7,12,8,2,10,0,8
8855,13,3,7,5,5,3,6,10,5,6,10,10,5,2,9,3,5
8856,23,7,9,7,7,4,2,8,5,7,11,11,10,3,9,2,6
8857,15,7,11,10,8,7,7,8,3,7,10,6,7,3,8,3,8
8858,7,5,10,9,8,7,11,5,1,5,9,1,5,3,7,5,9
8859,1,1,4,2,3,1,7,7,0,6,13,6,8,0,8,0,8
8860,25,2,5,4,3,2,7,8,2,9,11,7,7,1,8,5,7
8861,4,4,8,5,6,2,7,6,7,8,6,6,9,1,8,6,11
8862,23,4,5,5,8,2,7,5,14,5,7,14,8,3,9,0,8
8863,10,3,4,5,2,2,7,8,1,8,10,7,8,2,8,3,7
8864,20,5,9,5,4,3,10,7,4,5,7,9,5,4,11,2,7
8865,17,7,12,7,6,4,6,6,4,6,12,9,11,3,8,7,8
8866,15,7,11,9,8,8,7,6,5,5,6,5,7,9,6,7,10
8867,2,5,9,7,7,6,10,6,3,7,10,3,6,5,7,4,9
8868,15,6,10,7,5,4,7,8,3,5,10,7,8,6,9,5,7
8869,19,4,9,3,4,2,10,5,3,4,11,4,9,2,8,6,12
8870,21,2,3,3,2,1,4,10,2,7,10,10,6,1,11,2,4
8871,8,4,8,5,6,2,8,5,4,6,15,6,11,1,6,0,7
8872,12,6,9,8,6,7,8,6,6,4,8,5,7,4,7,7,11
8873,9,7,12,8,6,5,7,3,3,2,8,4,10,8,2,2,8
8874,5,3,7,4,5,2,9,7,4,8,11,4,8,2,8,5,9
8875,8,4,6,5,4,2,8,6,4,6,15,7,12,1,6,1,7
8876,25,2,6,4,4,3,7,7,2,7,7,6,8,0,8,8,8
8877,19,4,11,4,8,4,2,8,5,9,7,6,14,0,8,6,8
8878,4,5,11,6,8,4,6,7,7,7,11,7,11,2,10,4,9
8879,20,3,9,5,7,1,7,8,4,2,7,14,8,3,9,0,8
8880,23,4,5,5,4,3,6,9,5,7,7,10,9,3,9,1,8
8881,8,3,9,4,7,1,13,2,9,4,14,5,13,1,6,0,8
8882,5,2,6,4,4,4,6,9,3,2,7,7,6,2,8,8,1
8883,15,3,2,4,3,3,7,8,6,6,7,6,8,3,8,3,7
8884,2,3,8,3,6,2,6,7,11,8,6,6,6,3,8,3,8
8885,2,6,10,5,5,4,8,7,4,7,10,5,7,5,9,6,6
8886,1,3,6,4,4,2,7,7,0,7,13,6,8,0,8,1,7
8887,10,5,7,8,5,4,7,7,1,8,10,6,8,2,8,3,8
8888,23,4,7,4,5,2,7,4,14,5,7,13,8,3,9,0,8
8889,15,5,9,5,6,2,7,7,15,0,7,6,8,3,8,0,8
8890,10,4,6,5,5,5,9,7,2,5,8,6,6,2,8,7,7
8891,19,3,8,5,6,3,5,8,4,8,11,9,9,2,8,5,6
8892,11,4,7,6,5,4,8,9,8,4,7,7,7,3,8,3,8
8893,23,4,4,5,3,2,4,9,5,7,11,10,9,3,9,2,7
8894,5,2,7,3,5,3,7,8,7,6,7,5,6,2,8,8,8
8895,21,7,10,7,8,3,4,10,3,8,11,11,5,1,11,3,4
8896,8,3,7,4,5,2,9,6,4,7,15,5,10,0,7,1,7
8897,10,2,7,3,5,3,7,7,3,7,6,7,10,2,8,6,8
8898,9,4,4,7,3,4,7,7,3,4,9,8,9,9,7,2,9
8899,22,2,0,2,1,1,9,7,6,4,6,6,9,2,8,3,8
8900,23,10,15,9,8,6,7,6,5,5,6,7,8,5,5,3,7
8901,14,9,13,6,7,3,8,7,7,7,11,5,8,2,9,5,9
8902,25,7,10,9,8,5,7,8,2,10,12,6,8,1,9,6,8
8903,14,3,6,4,4,1,5,8,6,10,6,7,12,1,7,4,8
8904,0,2,7,3,4,1,5,14,1,6,9,11,7,0,8,0,8
8905,22,3,6,4,5,2,8,6,8,7,6,5,8,3,8,4,8
8906,24,6,9,8,6,8,8,8,5,5,7,6,6,8,7,8,13
8907,16,6,6,6,4,4,3,11,2,3,10,10,8,7,11,2,6
8908,9,3,4,4,3,3,8,6,6,4,6,7,8,7,6,2,7
8909,13,5,11,7,8,6,9,8,1,6,13,5,5,3,8,3,9
8910,15,4,10,4,7,2,7,6,15,1,7,8,8,3,8,0,8
8911,20,6,11,4,6,2,7,10,6,3,8,10,5,5,12,3,8
8912,20,2,0,3,1,0,7,9,4,2,7,13,8,2,10,0,8
8913,10,4,8,6,6,3,5,8,2,8,10,11,9,3,8,4,6
8914,22,6,7,8,10,10,8,9,5,2,5,7,9,8,15,8,14
8915,16,3,6,4,4,4,8,7,6,2,6,7,8,5,9,4,6
8916,22,4,6,4,7,4,8,5,6,4,9,5,8,3,8,3,8
8917,14,4,10,5,8,3,5,8,8,8,9,8,13,2,9,4,10
8918,1,3,8,4,6,2,7,8,0,8,14,6,7,0,8,1,7
8919,25,6,11,8,9,5,7,8,3,11,12,7,8,2,9,7,8
8920,3,1,1,2,2,1,7,7,11,1,5,6,8,4,8,0,8
8921,1,1,1,1,2,1,7,7,1,7,7,6,8,0,8,2,8
8922,9,4,4,4,6,3,8,7,12,1,6,9,8,8,6,0,8
8923,12,1,0,2,1,1,6,10,7,2,7,5,8,2,7,4,10
8924,16,7,8,7,6,5,6,11,5,3,8,6,6,10,13,3,4
8925,9,5,9,6,6,6,7,6,6,5,7,7,10,8,5,2,8
8926,12,8,15,6,8,5,7,5,6,5,8,6,9,6,6,8,10
8927,2,4,8,4,6,2,5,7,11,8,7,6,5,3,8,4,8
8928,21,4,6,6,4,3,4,11,2,7,11,10,5,1,11,3,5
8929,14,3,7,4,5,2,3,9,5,8,11,11,11,1,8,3,7
8930,5,7,11,10,8,12,8,9,5,4,8,5,7,7,8,13,9
8931,18,4,6,4,8,2,3,13,8,2,11,7,3,1,10,4,8
8932,11,3,5,4,4,3,8,7,7,5,9,6,8,2,8,3,8
8933,13,5,11,7,8,4,7,10,2,7,14,5,4,1,10,2,8
8934,19,3,7,5,5,3,4,9,3,7,11,9,9,2,9,4,6
8935,0,4,5,5,5,5,7,9,4,7,7,8,8,3,10,6,7
8936,22,6,8,6,9,7,8,8,6,2,7,8,11,3,8,6,8
8937,14,5,7,6,6,5,4,8,3,6,7,6,10,3,9,7,8
8938,16,4,4,5,3,3,3,11,3,2,10,10,8,6,11,1,7
8939,11,2,3,3,2,2,8,7,7,4,9,6,9,2,8,3,8
8940,15,5,9,6,6,6,7,7,5,5,7,5,8,6,6,6,11
8941,18,12,14,10,8,4,8,9,6,5,14,3,4,5,10,5,8
8942,21,6,9,6,7,4,5,9,1,7,9,9,6,3,10,5,4
8943,17,4,9,6,7,4,7,4,1,8,8,2,10,0,7,3,8
8944,10,2,3,3,2,1,7,7,3,9,6,6,8,2,8,5,7
8945,4,5,6,7,5,7,7,8,6,3,7,7,8,6,11,7,8
8946,11,6,9,8,6,9,8,9,5,2,7,7,8,9,9,6,12
8947,15,8,14,8,8,6,10,7,5,5,11,1,6,7,4,5,7
8948,20,9,15,8,9,4,9,10,6,4,6,10,6,6,13,3,6
8949,24,2,3,3,2,2,5,7,4,7,7,6,10,3,8,4,10
8950,23,3,5,4,4,2,6,8,5,6,6,8,9,6,10,0,7
8951,1,2,7,3,5,1,7,6,0,8,14,7,10,0,8,1,8
8952,21,5,6,5,4,2,3,10,2,7,11,11,6,1,11,2,4
8953,12,3,6,4,4,4,8,7,7,3,8,5,7,4,7,7,8
8954,12,4,9,4,7,3,6,8,9,5,6,6,7,3,8,6,11
8955,11,8,12,6,6,3,7,8,6,5,9,5,7,4,9,5,9
8956,5,6,11,7,8,7,9,8,5,8,5,5,6,1,6,10,6
8957,17,6,12,6,7,3,7,4,3,6,11,4,13,3,6,6,8
8958,3,3,5,4,3,3,7,8,5,5,7,7,6,5,9,2,6
8959,19,7,11,10,8,6,8,7,2,9,11,6,9,5,7,6,8
8960,15,2,4,3,2,2,6,7,5,6,7,6,8,3,8,3,8
8961,7,2,7,4,5,2,11,2,3,3,10,2,9,2,6,2,8
8962,18,10,13,9,8,6,9,8,4,5,13,4,4,5,10,6,7
8963,9,6,9,7,4,3,8,10,4,5,5,5,8,8,8,2,7
8964,13,3,7,4,5,1,1,12,5,5,12,11,8,0,8,2,6
8965,11,3,6,4,4,3,7,8,6,4,9,7,8,3,8,3,8
8966,21,3,5,5,7,1,9,10,2,2,5,12,8,1,11,0,8
8967,5,2,2,2,3,2,8,8,7,5,8,5,7,2,8,8,8
8968,20,4,5,5,4,2,4,12,2,3,9,11,7,3,10,1,7
8969,12,4,8,6,6,7,9,9,3,5,5,7,8,7,10,7,7
8970,3,6,11,8,6,3,8,7,2,4,13,6,8,6,8,0,8
8971,22,3,4,4,4,3,7,8,5,3,8,8,9,3,8,5,8
8972,12,4,9,4,4,3,9,7,3,5,9,3,8,5,7,5,8
8973,21,6,8,8,11,11,7,10,4,2,7,8,9,6,13,9,8
8974,24,5,9,7,6,5,4,7,2,7,10,10,12,3,8,3,6
8975,23,3,2,4,3,2,6,8,5,7,7,10,9,3,9,1,8
8976,13,6,10,7,8,7,6,10,6,5,9,6,8,2,10,8,10
8977,7,2,3,3,2,1,10,2,2,1,9,2,9,1,6,2,8
8978,22,5,6,6,8,3,9,9,8,7,5,8,10,3,8,5,10
8979,3,2,1,3,3,2,7,8,5,4,8,7,8,4,8,1,7
8980,23,4,8,6,6,5,8,8,8,5,6,7,9,3,8,4,6
8981,9,2,3,4,2,3,7,6,3,3,9,7,8,6,5,1,8
8982,23,3,7,5,6,5,8,7,3,3,6,6,8,4,8,2,8
8983,0,2,10,4,7,1,7,14,0,6,7,11,8,0,8,0,8
8984,7,4,9,4,4,2,10,2,4,2,11,5,12,4,4,5,10
8985,12,9,13,7,8,5,8,7,5,5,9,4,9,7,5,7,11
8986,24,3,4,4,7,2,3,7,7,3,7,7,11,3,8,3,10
8987,22,7,8,7,10,8,8,9,5,2,7,9,11,3,8,6,8
8988,21,2,5,4,4,2,8,11,1,7,6,11,8,1,11,2,9
8989,10,3,1,4,2,2,8,7,4,9,6,6,8,3,8,6,8
8990,21,5,9,5,7,3,4,9,1,7,9,10,6,1,10,3,4
8991,22,5,11,5,6,4,7,7,4,8,11,5,8,3,7,9,10
8992,2,5,9,6,7,6,8,8,7,6,8,7,3,5,8,4,9
8993,0,6,7,6,5,4,6,12,5,6,10,9,4,3,13,3,4
8994,20,4,10,6,8,3,5,11,3,5,10,12,9,3,10,1,8
8995,0,2,8,4,5,1,8,15,1,6,6,11,8,0,8,0,8
8996,4,2,6,3,4,2,8,8,6,5,6,7,9,2,7,5,11
8997,7,6,10,6,5,3,12,3,6,2,12,2,10,4,3,3,10
8998,16,2,3,3,1,2,10,11,3,2,5,9,7,5,10,0,8
8999,1,1,4,0,6,0,7,7,4,4,7,6,8,0,8,0,8
9000,23,4,6,6,4,4,7,8,8,6,6,6,10,3,8,5,6
9001,19,4,8,6,6,5,7,7,2,7,11,7,9,3,8,5,8
9002,0,5,9,7,7,8,7,8,4,6,7,6,9,6,8,6,6
9003,1,1,7,0,4,0,7,7,4,4,7,6,8,0,8,0,8
9004,21,7,11,8,8,4,5,9,1,9,10,10,5,3,10,5,3
9005,7,5,10,7,8,4,10,3,2,3,8,1,7,2,7,3,8
9006,25,5,11,7,9,4,8,7,2,10,11,5,9,2,8,6,8
9007,25,5,5,6,8,3,7,7,4,15,9,6,8,0,8,8,8
9008,25,5,8,7,10,6,11,4,3,5,9,2,7,2,7,6,9
9009,0,3,3,3,2,1,5,12,2,7,11,9,5,1,10,1,5
9010,21,2,1,2,1,0,7,10,3,1,7,12,8,1,11,0,8
9011,3,3,5,5,4,2,7,8,2,4,10,6,6,5,9,0,7
9012,22,4,3,5,5,4,8,7,7,3,5,6,9,3,8,5,8
9013,23,4,9,5,7,3,8,8,7,7,6,10,8,3,9,1,8
9014,15,3,7,3,4,2,7,8,14,1,7,5,8,3,8,0,8
9015,19,4,9,6,8,7,6,8,4,3,8,7,9,5,11,8,11
9016,5,4,8,5,6,3,9,6,5,9,11,3,8,2,7,5,10
9017,18,4,6,6,4,3,7,10,5,3,11,4,3,1,10,3,9
9018,9,5,6,7,6,8,7,7,4,4,7,6,8,10,7,5,5
9019,11,7,10,7,8,5,7,7,8,6,9,7,10,4,7,5,5
9020,24,3,2,4,4,2,6,7,4,8,6,6,11,3,8,6,9
9021,25,5,11,7,8,4,7,7,2,10,12,5,9,1,9,7,8
9022,0,5,7,5,5,3,5,12,2,7,12,9,4,1,11,2,4
9023,14,4,9,5,6,3,5,8,7,7,8,8,14,2,9,4,10
9024,2,6,11,7,8,4,5,7,10,10,7,6,5,3,8,4,8
9025,1,4,8,6,9,6,8,9,4,5,7,7,8,3,7,8,7
9026,7,3,2,5,3,2,6,2,2,1,5,2,8,2,7,3,5
9027,25,4,10,6,7,4,9,5,3,10,11,4,9,1,7,6,9
9028,1,3,8,5,6,3,8,6,2,7,7,6,7,0,9,4,7
9029,9,4,2,5,3,4,8,6,6,4,7,7,8,7,5,2,8
9030,9,5,10,8,7,11,9,6,2,2,8,4,8,10,5,3,6
9031,25,1,0,1,0,0,8,7,2,9,8,6,8,0,8,5,8
9032,21,3,5,5,4,2,8,11,1,7,5,11,9,1,11,2,9
9033,1,1,6,0,4,1,7,7,5,3,7,6,8,0,8,0,8
9034,21,3,10,6,7,4,7,10,0,7,6,11,8,1,10,1,8
9035,21,7,11,7,8,4,6,8,2,8,8,10,5,5,11,6,3
9036,3,2,6,2,4,2,7,7,11,1,6,6,8,4,8,0,8
9037,17,1,0,1,1,0,2,1,5,5,0,2,5,0,8,0,8
9038,21,6,7,6,5,3,3,10,2,7,10,11,6,1,11,2,5
9039,2,4,9,6,6,5,7,8,7,5,8,7,6,3,8,3,7
9040,24,7,9,10,7,7,7,7,1,6,10,5,9,3,8,4,9
9041,21,7,8,9,10,11,9,8,6,3,7,7,8,6,10,7,4
9042,22,4,7,6,5,5,8,4,7,4,6,7,10,4,7,6,9
9043,1,3,4,4,5,3,9,9,5,4,6,6,10,3,7,7,5
9044,8,4,5,6,6,5,8,8,4,6,6,7,7,3,10,8,10
9045,12,4,11,6,8,6,8,8,4,6,9,4,8,3,6,5,11
9046,1,3,7,4,5,2,6,8,0,7,13,7,8,0,8,1,7
9047,24,2,1,3,2,2,6,7,4,7,7,6,11,3,8,4,9
9048,21,4,10,7,8,4,4,9,1,8,10,12,10,1,11,2,7
9049,0,3,3,4,2,2,8,12,3,6,6,11,8,2,11,1,7
9050,16,6,9,8,7,9,7,9,6,4,7,9,8,7,7,5,10
9051,14,4,7,5,5,2,6,8,7,11,6,6,13,1,7,4,8
9052,10,4,7,5,5,3,7,7,4,9,6,6,10,3,8,6,8
9053,10,4,7,6,5,4,9,8,3,6,7,7,7,6,11,7,7
9054,5,4,9,5,6,4,8,7,5,7,5,6,8,0,8,8,8
9055,13,4,4,4,6,2,1,15,5,3,12,9,4,0,8,2,6
9056,6,2,1,2,1,2,7,7,7,5,6,6,7,1,8,7,8
9057,20,1,1,2,2,1,6,12,3,2,9,11,8,2,11,1,8
9058,20,3,10,5,7,2,9,8,4,3,6,14,8,3,10,0,8
9059,18,6,10,9,8,5,7,10,2,7,14,6,4,0,10,2,9
9060,7,4,9,6,6,2,7,7,3,0,7,0,8,3,7,1,8
9061,10,4,9,6,6,4,8,7,0,7,9,5,7,2,8,3,8
9062,4,4,7,4,5,3,6,6,6,5,10,7,13,2,9,4,10
9063,7,3,5,5,3,2,6,2,2,2,5,2,8,2,6,3,6
9064,0,2,2,3,3,2,6,12,3,6,8,11,8,2,11,1,7
9065,7,3,10,5,8,4,6,3,1,2,5,2,8,2,5,3,6
9066,9,6,6,8,4,5,10,6,2,5,9,4,7,8,6,2,8
9067,22,3,4,4,5,3,7,8,5,3,7,9,10,3,8,5,8
9068,12,3,3,4,4,2,5,11,7,3,7,4,8,3,7,6,11
9069,10,3,1,4,2,2,8,7,3,9,6,6,9,2,8,6,8
9070,11,4,9,5,7,5,7,7,8,4,7,6,8,3,8,3,8
9071,8,3,8,5,6,4,9,8,3,3,8,4,6,4,9,6,4
9072,0,2,3,2,2,1,9,11,3,5,6,10,8,2,11,1,8
9073,13,2,7,3,5,2,1,12,3,4,11,10,8,0,8,2,7
9074,21,4,10,7,7,1,7,10,2,2,7,13,8,2,11,0,8
9075,16,6,8,6,6,4,3,10,3,3,11,10,8,7,10,2,7
9076,2,3,2,4,4,3,7,7,7,6,6,6,5,2,8,3,7
9077,22,5,11,7,8,7,8,4,8,5,6,6,6,5,7,7,10
9078,25,6,7,5,11,4,7,7,5,3,11,7,7,3,9,11,6
9079,1,2,2,1,4,1,7,7,1,7,7,6,8,0,8,3,8
9080,5,1,0,2,1,0,8,7,4,6,5,6,7,0,8,7,8
9081,24,3,6,5,5,5,6,8,3,3,7,4,9,4,6,6,9
9082,17,2,4,3,3,1,7,4,1,8,8,2,10,0,7,2,8
9083,7,2,2,4,3,1,7,3,2,2,6,1,8,2,6,2,7
9084,15,5,6,6,8,3,7,8,15,0,7,5,8,3,8,0,8
9085,20,2,4,4,2,1,9,12,2,3,5,11,9,2,11,1,8
9086,11,3,3,4,4,2,7,8,8,6,7,7,8,3,8,4,8
9087,18,4,9,4,7,4,4,12,7,1,11,7,4,1,10,3,8
